player_name,Position,team,actual_pass_rate of team before pick,actual_rush_rate  of team before pick,predicted_pass_rate based on draft pick,predicted_rush_rate based on draft pick
Ashton Jeanty,RB,las vegas raiders,66%,33%,63%,37%
Tetairoa McMillan,WR,carolina panthers,63%,36%,63%,37%
Tyler Warren,TE,indianapolis colts,55%,44%,58%,42%
Cam Ward,QB,tennessee titans,59%,40%,62%,38%
Kelvin Banks Jr.,OT,new orleans saints,60%,39%,61%,39%
Colston Loveland,TE,chicago bears,65%,34%,63%,37%
Luther Burden III,WR,chicago bears,65%,34%,64%,36%
Josh Simmons,OT,kansas city chiefs,63%,36%,62%,38%
Emeka Egbuka,WR,tampa bay buccaneers,60%,39%,62%,38%
Shedeur Sanders,QB,cleveland browns,68%,31%,66%,34%
Matthew Golden,WR,green bay packers,51%,48%,62%,38%
Josh Conerly Jr.,OT,washington commanders,59%,40%,61%,39%
Omarion Hampton,RB,los angeles chargers,58%,41%,62%,38%
Aireontae Ersery,OT,houston texans,63%,36%,62%,38%
TreVeyon Henderson,RB,new england patriots,62%,37%,62%,38%
Elijah Arroyo,TE,seattle seahawks,66%,33%,64%,36%
Kaleb Johnson,RB,pittsburgh steelers,54%,45%,58%,42%
Jayden Higgins,WR,houston texans,63%,36%,63%,37%
Mason Taylor,TE,new york jets,66%,33%,63%,37%
Elic Ayomanor,WR,tennessee titans,59%,40%,62%,38%
Tre Harris,WR,los angeles chargers,58%,41%,61%,39%
Cameron Williams,OT,philadelphia eagles,48%,51%,52%,48%
Quinshon Judkins,RB,cleveland browns,68%,31%,62%,38%
Jaxson Dart,QB,new york giants,63%,36%,63%,37%
Jack Bech,WR,las vegas raiders,66%,33%,63%,37%
Jalen Royals,WR,kansas city chiefs,63%,36%,63%,37%
Gunnar Helm,TE,tennessee titans,59%,40%,61%,39%
Harold Fannin Jr.,TE,cleveland browns,68%,31%,65%,35%
Dylan Sampson,RB,cleveland browns,68%,31%,66%,34%
Jalen Milroe,QB,seattle seahawks,66%,33%,65%,35%
Charles Grant,OT,las vegas raiders,66%,33%,64%,36%
Jaylin Noel,WR,houston texans,63%,36%,63%,37%
Terrance Ferguson,TE,los angeles rams,57%,42%,60%,40%
Cam Skattebo,RB,new york giants,63%,36%,63%,37%
Tez Johnson,WR,tampa bay buccaneers,60%,39%,60%,40%
Quinn Ewers,QB,miami dolphins,61%,38%,61%,39%
Savion Williams,WR,green bay packers,51%,48%,56%,44%
RJ Harvey,RB,denver broncos,62%,37%,63%,37%
Will Howard,QB,pittsburgh steelers,54%,45%,57%,43%
DJ Giddens,RB,indianapolis colts,55%,44%,59%,41%
Tory Horton,WR,seattle seahawks,66%,33%,62%,38%
Devin Neal,RB,new orleans saints,60%,39%,62%,38%
Brashard Smith,RB,kansas city chiefs,63%,36%,62%,38%
Damien Martinez,RB,seattle seahawks,66%,33%,65%,35%
Tyler Shough,QB,new orleans saints,60%,39%,62%,38%
Ajani Cornelius,OT,dallas cowboys,62%,37%,61%,39%
Pat Bryant,WR,denver broncos,62%,37%,63%,37%
Bhayshul Tuten,RB,jacksonville jaguars,61%,38%,63%,37%
Mitchell Evans,TE,carolina panthers,63%,36%,62%,38%
Dillon Gabriel,QB,cleveland browns,68%,31%,66%,34%
Chase Lundt,OT,buffalo bills,57%,42%,58%,42%
